Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"PUBM","PUBMATIC INC CLASS A","Kommunikation","Aktien","255.414,68","0,01","255.414,68","18.698,00","13,66","Vereinigte Staaten","NASDAQ","USD"
"ATSG","AIR TRANSPORT SERVICES GROUP INC","Industrie","Aktien","255.134,22","0,01","255.134,22","12.562,00","20,31","Vereinigte Staaten","NASDAQ","USD"
"UWMC","UWM HOLDINGS CORP CLASS A","Financials","Aktien","254.760,00","0,01","254.760,00","42.460,00","6,00","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MMS","MCMILLAN SHAKESPEARE LTD","Industrie","Aktien","254.784,82","0,01","254.784,82","25.084,00","10,16","Australien","Asx - All Markets","AUD"
"PACK","RANPAK HOLDINGS CORP CLASS A","Materialien","Aktien","254.645,04","0,01","254.645,04","62.413,00","4,08","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"PROT","PROTECTOR FORSIKRING","Financials","Aktien","254.005,67","0,01","254.005,67","17.520,00","14,50","Norwegen","Oslo Bors Asa","NOK"
"SEMR","SEMRUSH HOLDINGS INC CLASS A","IT","Aktien","253.845,48","0,01","253.845,48","26.278,00","9,66","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"RPT","RPT REALTY","Immobilien","Aktien","253.536,60","0,01","253.536,60","27.262,00","9,30","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"7224","SHINMAYWA INDUSTRIES LTD","Industrie","Aktien","253.560,02","0,01","253.560,02","28.300,00","8,96","Japan","Tokyo Stock Exchange","JPY"
"BOO","BOOHOO GROUP","Zyklische Konsumgüter ","Aktien","253.244,30","0,01","253.244,30","408.854,00","0,62","Vereinigtes Königreich","London Stock Exchange","GBP"
"GFT","GFT TECHNOLOGIES","IT","Aktien","252.958,57","0,01","252.958,57","6.411,00","39,46","Deutschland","Xetra","EUR"
"PCTN","PICTON PROPERTY INCOME LTD","Immobilien","Aktien","252.551,73","0,01","252.551,73","263.345,00","0,96","Vereinigtes Königreich","London Stock Exchange","GBP"
"TM17","TEAM 17 GROUP PLC","Kommunikation","Aktien","252.646,63","0,01","252.646,63","55.527,00","4,55","Vereinigtes Königreich","London Stock Exchange","GBP"
"OXB","OXFORD BIOMEDICA PLC","Gesundheitsversorgung","Aktien","252.067,60","0,01","252.067,60","46.209,00","5,45","Vereinigtes Königreich","London Stock Exchange","GBP"
"ONTEX","ONTEX GROUP NV","Nichtzyklische Konsumgüter","Aktien","251.413,64","0,01","251.413,64","29.290,00","8,58","Belgien","Nyse Euronext - Euronext Brussels","EUR"
"DND","DYE & DURHAM LTD","IT","Aktien","251.464,90","0,01","251.464,90","23.652,00","10,63","Kanada","Toronto Stock Exchange","CAD"
"ASC","ASCOPIAVE","Versorger","Aktien","251.051,75","0,01","251.051,75","78.145,00","3,21","Italien","Borsa Italiana","EUR"
